Year,Month,Day,Resident Population,Resident Population Plus Armed Forces Overseas,Civilian Population,Civilian Noninstitutionalized Population,Household Population
2019,December,1,329018969,329255444,327832048,323966143,320934607
2020,January,1,329135084,329371559,327948163,324082258,321050722
2020,February,1,329237661,329474136,328050740,324184835,321153299
2020,March,1,329342883,329579358,328155962,324290057,321258521
2020,April,1,329459499,329695974,328272578,324406673,321375137
2020,May,1,329588430,329824905,328401509,324535604,321504068
2020,June,1,329726295,329962770,328539374,324673469,321641933
2020,July,1,329877505,330113980,328690584,324824679,321793143
2020,August,1,330047526,330284001,328860605,324994700,321963164
2020,September,1,330215986,330452461,329029065,325163160,322131624
2020,October,1,330382026,330618501,329195105,325329200,322297664
2020,November,1,330528990,330765465,329342069,325476164,322444628
2020,December,1,330656950,330893425,329470029,325604124,322572588
